,dialogue,tokens,compound,fear,anger,anticip,trust,surprise,sadness,disgust,joy
557,"So I move into the centre lane, now I get ahead of this women, who felt for some reason I guess, that she thought that I cut her off. So, she pulls up along side of me, gives me the finger. It seems like such an arbitrary, ridiculous thing to just pick a finger and you show it to the person. Its a finger, what does it mean? Someone shows me one of their fingers and Im supposed to feel bad. Is that the way its supposed to work? I mean, you could just give someone the toe, really, couldnt you? I would feel worse if I got the toe, than if I got the finger. Cause its not easy to give someone the toe, youve gotta get the shoe off, the sock off and drive, get it up and... (Jerry pretends to drive with one foot in the air, giving the toe.) Look at that toe, buddy. (He puts his foot down.) I mean, thats really insulting to get the toe, isnt it?","['So I move into the centre lane, now I get ahead of this women, who felt for some reason I guess, that she thought that I cut her off.', 'So, she pulls up along side of me, gives me the finger.', 'It seems like such an arbitrary, ridiculous thing to just pick a finger and you show it to the person.', 'Its a finger, what does it mean?', 'Someone shows me one of their fingers and Im supposed to feel bad.', 'Is that the way its supposed to work?', 'I mean, you could just give someone the toe, really, couldnt you?', 'I would feel worse if I got the toe, than if I got the finger.', 'Cause its not easy to give someone the toe, youve gotta get the shoe off, the sock off and drive, get it up and... (Jerry pretends to drive with one foot in the air, giving the toe.)', 'Look at that toe, buddy.', '(He puts his foot down.)', 'I mean, thats really insulting to get the toe, isnt it?']",,0.1111111111111111,0.1111111111111111,0.0,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.037037037037037035
558,"Is that it? Got the cue tips, got the mini-umbrella, something boring to read on the plane. (Jerry zips his bag ceremoniously.) Thats it. Done!","['Is that it?', 'Got the cue tips, got the mini-umbrella, something boring to read on the plane.', '(Jerry zips his bag ceremoniously.)', 'Thats it.', 'Done!']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,(claps her hands) That is the single greatest packing performance I have ever seen.,['(claps her hands) That is the single greatest packing performance I have ever seen.'],0.6369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,(proudly) I am...the master packer.,['(proudly) I am...the master packer.'],0.5574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,"(laughs) Yeah, right, youre the master packer.","['(laughs) Yeah, right, youre the master packer.']",0.6597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,"What you must understand, Elaine, (picking up the umbrella) packing is no different than leading men into battle. (Jerry hits his bag rhythmically with his umbrella.) Youve gotta know the strengths and weaknesses of every soldier in that platoon. From a collapsible toothbrush to a pair of ordinary black socks.","['What you must understand, Elaine, (picking up the umbrella) packing is no different than leading men into battle.', '(Jerry hits his bag rhythmically with his umbrella.)', 'Youve gotta know the strengths and weaknesses of every soldier in that platoon.', 'From a collapsible toothbrush to a pair of ordinary black socks.']",,0.0,0.25,0.0,0.125,0.0,0.25,0.0,0.0
563,"(raising her hand) Scuse me, master packer...","['(raising her hand) Scuse me, master packer...']",0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,Yes.,['Yes.'],0.4019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,Just gimme your keys.,['Just gimme your keys.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,"All right, sir. (He tosses Elaine his keys. The apartment buzzer goes off; Jerry presses the first button; to the intercom) George?","['All right, sir.', '(He tosses Elaine his keys.', 'The apartment buzzer goes off; Jerry presses the first button; to the intercom) George?']",,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
567,(from the intercom) Yeah.,['(from the intercom) Yeah.'],0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,"Okay, so, now, is there anything else I need to know about this place?","['Okay, so, now, is there anything else I need to know about this place?']",0.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,"Uh, yeah, the, uh, hot water takes a little while to come on. So, the best thing to do is to turn it on, do all your shopping, you come back and take a shower.","['Uh, yeah, the, uh, hot water takes a little while to come on.', 'So, the best thing to do is to turn it on, do all your shopping, you come back and take a shower.']",0.3753,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
570,"Okay, this is quite a place.","['Okay, this is quite a place.']",0.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,Theres more. The refrigerator.,"['Theres more.', 'The refrigerator.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,"Deduct a minimum of two days off all expiration dates. (He uses the umbrella to point to certain compartments in the fridge.) No meat, no leftovers, no butter. (He closes the fridge.) And I cannot overstate this No soft cheeses of any kind. Is that clear?","['Deduct a minimum of two days off all expiration dates.', '(He uses the umbrella to point to certain compartments in the fridge.)', 'No meat, no leftovers, no butter.', '(He closes the fridge.)', 'And I cannot overstate this No soft cheeses of any kind.', 'Is that clear?']",,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
